region,max_100_2019,max_100_2021,max_test_2019,max_test_2021,max_12_2019,max_12_2021
Вінницька область                                                                                   ,184.00,184.00,49.00,52.00,10,10
Волинська область                                                                                   ,177.00,190.00,44.00,57.00,10,12
Дніпропетровська область                                                                            ,196.00,193.00,58.00,60.00,12,11
Донецька область                                                                                    ,192.00,195.00,55.00,62.00,12,11
Житомирська область                                                                                 ,191.00,161.00,54.00,36.00,12,9
Закарпатська область                                                                                ,165.00,180.00,37.00,49.00,9,11
Запорізька область                                                                                  ,182.00,185.00,47.00,53.00,10,11
Івано-Франківська область                                                                           ,175.00,190.00,43.00,57.00,9,12
Київська область                                                                                    ,170.00,178.00,40.00,48.00,9,10
Кіровоградська область                                                                              ,170.00,167.00,40.00,40.00,9,9
Луганська область                                                                                   ,168.00,142.00,39.00,25.00,9,7
Львівська область                                                                                   ,195.00,193.00,57.00,60.00,12,12
Миколаївська область                                                                                ,194.00,177.00,56.00,47.00,12,11
м.Київ                                                                                              ,200.00,190.00,62.00,57.00,12,11
Одеська область                                                                                     ,175.00,181.00,43.00,50.00,10,11
Полтавська область                                                                                  ,187.00,186.00,51.00,54.00,11,10
Рівненська область                                                                                  ,173.00,178.00,42.00,48.00,9,10
Сумська область                                                                                     ,168.00,173.00,39.00,44.00,9,10
Тернопільська область                                                                               ,187.00,169.00,51.00,41.00,11,10
Харківська область                                                                                  ,199.00,186.00,61.00,54.00,12,11
Херсонська область                                                                                  ,191.00,194.00,54.00,61.00,12,11
Хмельницька область                                                                                 ,184.00,181.00,49.00,50.00,11,11
Черкаська область                                                                                   ,155.00,193.00,32.00,60.00,7,12
Чернівецька область                                                                                 ,172.00,181.00,41.00,50.00,5,11
Чернігівська область                                                                                ,161.00,180.00,35.00,49.00,8,9
